DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;30210.747784645508;30255.05776065709;26660.336942501945;22583.064;22583.064110964537
2023-12-31;24386.83476090175;31526.61328212823;23970.7564253176;28162.86;27938.568555491052
2024-01-31;17461.524672920976;23724.98251688613;24405.2104248366;19031.916;19428.223830239116
2024-02-29;25248.340450347394;32838.87645132438;25185.274984829983;20014.557;21332.470787467708
2024-03-31;24161.35571741061;30348.52846865212;27095.19936951937;26198.988;26350.348428876663
2024-04-30;23557.4109199536;26478.120928430042;27899.100629631797;31373.111;29606.307892619076
2024-05-31;18587.27496509265;22131.959716383677;22939.973854016356;21759.195;22021.57373932624
2024-06-30;20483.64104773891;20263.122764641543;19604.53786916787;15304.374;18149.25313740106
2024-07-31;13138.960878407224;10951.339347756375;18255.45705294705;18445.309;16588.799116465667
2024-08-31;14272.358513661158;15102.248718780664;19801.056378991383;19786.395;18603.448431600384
2024-09-30;26675.818131831686;28147.0868951935;24063.624466089463;23757.557;25118.95121317142
2024-10-31;26216.134117809248;26965.26544461404;24858.591272246274;23877.14;25419.314973851873
