DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;22315.75419062484;20339.605887951715;15209.232804554547;15671.699;15671.699171066284
2023-12-31;28732.09894203883;18267.938568878035;15209.232804554547;15707.664;15763.138690168986
2024-01-31;3283214.370677802;12272.526290736907;15669.39089146763;15986.468;15769.552963358543
2024-02-29;3281506.050201205;15409.295868645997;13188.021313871313;12627.044;12896.898783179966
2024-03-31;3284013.476546173;14475.211220891388;15908.549827161567;16083.12;15891.284582657956
2024-04-30;3287481.100219446;15056.940075368326;16631.544127860867;18488.816;17777.275113712927
2024-05-31;3278223.5617604596;16471.765769004323;12860.005815295815;12902.614;13471.91857654878
2024-06-30;3272070.0634516426;11454.198757876007;11920.755016280016;12323.822;12084.123264959519
2024-07-31;3267329.16898488;11433.607410557483;11082.148142228143;12970.893;12233.45498369171
2024-08-31;3281721.0084285024;10113.637108701889;13378.830398120399;13155.334;12472.903239962301
2024-09-30;3274589.847677931;15827.617485182247;13993.855303537044;12167.965;13643.888329088339
2024-10-31;3276919.502430936;17234.2202390406;15795.928125529867;16497.176;16507.770546145388
