DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL;WSB-GLOBAL
2023-11-30;31624.89471271793;28854.972174717182;24088.10845783846;23252.727;23252.72623756528;23252.72623756528
2023-12-31;26326.233739548687;30411.39210097677;26675.403815830137;22289.738;22290.791039009237;22290.791039009237
2024-01-31;21062.45704069494;22355.569261734643;23577.939470899473;26225.275;26223.340361040297;26223.340361040297
2024-02-29;20504.003628874878;24682.151645183192;23184.840786082106;21764.123;21765.18765824804;21765.18765824804
2024-03-31;33032.25873734508;27159.195603355674;26454.066428571427;29161.762;29159.40574599103;29159.40574599103
2024-04-30;24508.74115812446;26449.52458674524;25262.41383597884;26630.31;26628.600581303694;26628.600581303694
2024-05-31;21459.19825194261;23588.64764865362;23284.018670773672;20836.791;20840.691220751367;20840.691220751367
2024-06-30;7601.948798671758;19325.063333755035;16699.31277112865;16269.666;16272.715774038508;16272.715774038508
2024-07-31;11827.782505841546;15259.824275356552;13621.631075770634;14857.669;14855.196465786283;14855.196465786283
2024-08-31;14215.173787553666;14603.142898717237;16907.481030189854;14852.504;14851.5058627369;14851.5058627369
2024-09-30;19306.416460764147;23749.64225948725;22001.09822103822;22461.387;22460.234830629466;22460.234830629466
2024-10-31;25202.81642121941;25559.817386653995;24575.992818847822;24126.428;24129.387808167685;24129.387808167685
