DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL
2023-11-30;6982.161949530116;6427.253092861734;5881.782619047619;6252.9243;6252.924460887908
2023-12-31;5980.384022744057;5968.832210664074;5280.540812890814;5482.537;5523.297249506858
2024-01-31;3967.046078892613;3925.230365750875;5881.782619047619;5108.5215;4915.953279104922
2024-02-29;3462.017320082515;3964.1665709394324;5239.278174603175;4991.9644;4736.55657868955
2024-03-31;4726.009438002045;5002.311342689946;5662.1130952380945;4721.6846;4814.665761309263
2024-04-30;6377.030226422303;5475.168020634321;5881.782619047619;5117.536;5434.061717552512
2024-05-31;5222.148093197143;5727.409798648934;5881.782619047619;5357.4062;5579.659713393714
2024-06-30;1656.2807625299936;4928.39186824952;4286.851373822256;3814.0073;4274.171427012862
2024-07-31;2652.141892745722;4607.898930396426;5303.775517075518;4792.2236;4900.645033931016
2024-08-31;8691.447756290778;4500.267912730574;5648.033835978836;4865.9927;5449.004406762794
2024-09-30;5402.872695205365;5716.464653511082;5881.782619047619;5178.415;5624.099488340351
2024-10-31;4129.514252151746;5955.231381298452;5150.431024531024;5048.7065;5141.394515679239
