DATA;ESN;MLP;RF;XGBoost
2023-11-30;3639.358038504541;3006.9073131383557;3030.21347525024;3295.2834
2023-12-31;3460.438588575359;3160.938485923019;2928.285911147676;3250.0679
2024-01-31;2656.511798860459;2030.189203019773;2504.8284783611643;2170.7498
2024-02-29;2543.0963750209885;2442.948907825988;2654.592782749586;2190.5635
2024-03-31;2846.1385667979152;2603.1098316700172;2558.0318116944973;2305.9778
2024-04-30;2722.929926944128;2800.463577667478;2731.8961129161517;3123.8982
2024-05-31;3157.8287990991935;2597.3461994821014;2655.2213930281964;2883.479
2024-06-30;2335.539269861081;2826.319671850432;2517.951936603701;2680.2869
2024-07-31;2028.3177815387182;2485.9636114864697;2443.991963487149;2709.2676
2024-08-31;2898.866525747398;2368.605144510267;2699.0950336917986;2679.9954
2024-09-30;2597.5421439062397;2569.3737578321175;2801.398578549933;2992.7651
2024-10-31;3213.5528792177606;2572.995617146273;2727.016970355353;2822.758
