DATA;ESN;MLP;RF;XGBoost
2023-11-30;5453.313248141141;6666.590710891989;6577.584998287459;5731.895
2023-12-31;6101.699390915977;7843.645615981017;6369.585584542162;7214.348
2024-01-31;4076.431795605116;4225.596398857354;6142.434406090985;5019.4595
2024-02-29;7999.364808511808;7954.761417620697;5901.1527394243185;5935.902
2024-03-31;8687.163755093103;7079.457392862701;7406.963115588115;8235.593
2024-04-30;5774.595140285041;6792.750554411919;7737.509631305513;7610.0586
2024-05-31;3892.508444067502;3774.928245033144;5506.78496730537;5230.8364
2024-06-30;4204.549764206785;4540.932247858025;4263.271114179938;4076.4539
2024-07-31;4919.29948732313;2283.5799219619635;4448.60515569398;5378.7725
2024-08-31;3213.7173659887044;3971.7423351973785;5324.707763028166;5511.4653
2024-09-30;4683.04949321519;6091.222852909761;6207.317323924784;5397.8843
2024-10-31;7870.229002140771;6821.326329472197;6744.856772486772;8103.703
