DATA;ESN;MLP;RF;XGBoost
2023-11-30;2715.082442054138;2753.030917664689;2404.0751521841303;2212.5417
2023-12-31;2022.1652716414712;2784.2617036263932;2394.8543773873184;2318.532
2024-01-31;2565.107232143105;1581.1972110664485;2105.5712935267347;1937.0479
2024-02-29;2624.0019826180264;2577.6676522255907;2303.1126893531305;2268.4521
2024-03-31;3887.486910349323;2767.757351037009;2684.9912853867263;2952.4568
2024-04-30;3467.4690367494445;2783.478231086877;2696.5757672498926;2494.9392
2024-05-31;3018.2180907782517;2511.510536898074;2478.3306878848125;2204.212
2024-06-30;2944.5215542146702;2382.714837432368;2323.432461030255;1968.1403
2024-07-31;2388.9853386315835;1923.5459933965776;2123.515814060667;2488.844
2024-08-31;3967.768219200634;2253.9742707763803;2711.6478833690676;2441.626
2024-09-30;2676.900789963103;2487.941272921396;2593.88922013172;2813.15
2024-10-31;3348.657326250005;2546.4526984813965;2756.004021218146;3085.0286
