DATA;ESN;MLP;RF;XGBoost
2023-11-30;14381.631062408207;17138.057314295733;14902.640214045214;18822.838
2023-12-31;-3726.617453160483;21895.878627716844;15904.366135531136;16372.438
2024-01-31;35139.78529831638;16186.183291159825;13237.501079846079;12008.848
2024-02-29;7812.643690995406;14517.21672169998;13158.826794131792;14706.508
2024-03-31;-20914.50193963658;15038.66982004709;15672.654620379622;13772.607
2024-04-30;678.4594900106731;16060.153121834413;15808.329795389793;13415.937
2024-05-31;-6488.5753671875345;13162.241080107398;16904.978494468494;16173.104
2024-06-30;-100159.85829461088;16648.817575575435;14856.076534391534;17162.51
2024-07-31;-260007.29930577634;13101.439707146506;13049.726543456543;9703.933
2024-08-31;-1407860.898983062;9374.507226131958;12891.460352980353;11737.215
2024-09-30;-1351495.7482808996;8959.327868785156;16477.92526973027;13825.187
2024-10-31;-1375759.7970400404;6669.68431544313;17581.554220071866;20449.55
