DATA;ESN;MLP;RF;XGBoost
2023-11-30;31781.891411030225;27312.46274287415;23718.35190957191;22617.266
2023-12-31;22070.901087233626;29707.128463594086;25950.088103933103;28137.81
2024-01-31;15145.73641506083;20558.284191113195;21761.803876678874;18951.205
2024-02-29;23303.42063315538;28975.903962660366;22855.6041989492;20307.676
2024-03-31;24278.822886398357;27631.158193803785;27488.38966755467;26115.58
2024-04-30;20757.33584176307;27691.477689025236;27983.296679259274;31100.023
2024-05-31;13733.927310021814;19181.359863373207;21029.487678062676;21692.156
2024-06-30;18499.62426361749;23164.118485312705;19857.452248677248;15221.919
2024-07-31;13043.025342263296;15455.395816378508;17404.945911680916;18612.375
2024-08-31;13759.417659791836;15554.901715126196;19581.19427757428;20057.504
2024-09-30;25678.431713950307;25728.72908046522;24367.87145170905;24140.941
2024-10-31;23605.14987860517;27934.20909903019;28015.8773919871;23878.615
