DATA;ESN;MLP;RF;XGBoost
2023-11-30;18771.355647826742;18820.110928966307;16677.228186628185;15655.866
2023-12-31;17259.40261906495;17269.959406382404;16708.165223665223;15728.542
2024-01-31;-734244.9551026175;9766.462917946365;16774.766810966812;15992.683
2024-02-29;-734138.1241295118;14954.926878170403;13254.418351463353;12608.8
2024-03-31;-728293.37392085;14316.508372681144;17729.856825396826;16121.167
2024-04-30;-728872.0222244122;15240.905192443883;17522.07587301587;18436.451
2024-05-31;-735143.7367780041;13384.602217144939;13576.771684796686;12821.395
2024-06-30;-736146.334284779;10480.690683996285;12588.092258667259;12282.868
2024-07-31;-852801.0304006609;11483.899875151677;12309.448353868354;12972.077
2024-08-31;-735384.5499996177;11895.196164449935;13463.433921448923;13122.82
2024-09-30;-740396.0998470371;13977.42710298338;13758.517400562401;12182.278
2024-10-31;-725006.0756918603;15265.963048765556;17163.25291005291;16496.133
