DATA;ESN;MLP;RF;XGBoost
2023-11-30;6412.747741624339;5659.007251847207;5847.000911495911;6133.851
2023-12-31;5415.482715465309;5621.775854654085;5197.510659395071;5517.8945
2024-01-31;3693.5833166528428;2630.386115778991;5329.765793650794;5156.436
2024-02-29;3168.732604364246;3643.1056963544;4806.570846560847;4956.539
2024-03-31;4212.939877799406;4131.935354710455;5192.346746031746;4729.672
2024-04-30;5062.654520521544;4924.932243518126;5329.765793650794;5065.2026
2024-05-31;4506.052228424642;4657.752769499646;5428.859126984128;5374.7627
2024-06-30;1945.332129995939;4254.735023087585;4348.151798941799;3654.4326
2024-07-31;3387.4711918647577;4075.1896752883754;4774.468201058201;4866.501
2024-08-31;17511.39547492502;4329.379816114942;5357.768642653643;4906.7793
2024-09-30;4299.650702824584;4888.528820923033;5265.391190476191;5110.2407
2024-10-31;3688.9362665718736;4882.840127194602;4895.132927170869;4922.4194
