DATA;ESN;MLP;RF;XGBoost
2023-11-30;15283.258549815877;17147.469361824828;17034.654024352552;14721.567
2023-12-31;22273.724633630005;15485.313756520703;14233.588264143264;14808.279
2024-01-31;16925.836441060554;9158.73205962528;15005.715453620454;14877.534
2024-02-29;15518.324189709963;13188.512992433996;13936.366379546378;19558.045
2024-03-31;23031.635220937038;15324.061974446437;15599.190100270102;13684.888
2024-04-30;13946.762650341348;16643.093759555766;14085.228535908534;14635.33
2024-05-31;17177.946067606452;15589.61575477922;14366.744551418082;14965.273
2024-06-30;19695.85145820216;15457.387666655706;15387.128381735227;15116.731
2024-07-31;13754.706249093644;21885.82990465625;14638.063110593112;15417.597
2024-08-31;26405.626406988846;13752.790263399711;18604.271481481483;20692.238
2024-09-30;14891.718304647773;15875.394006030168;17570.273915343914;14637.649
2024-10-31;18378.33593837558;16091.099773534303;17957.40344877345;15206.231
