DATA;ESN;MLP;RF;XGBoost
2023-11-30;22907.114301862664;26036.287596935697;27248.016226551226;24628.127
2023-12-31;33379.30881446899;30329.09963893458;28195.503020683023;28274.838
2024-01-31;23902.38355219633;17422.49855894087;28197.256898656895;22782.613
2024-02-29;31126.85386832746;28999.47158841835;27522.28132756133;25609.898
2024-03-31;35960.05156752114;27659.833125944002;32362.780209235203;31696.156
2024-04-30;19971.529369601376;26323.924828175048;33146.863047138046;36117.195
2024-05-31;18581.534366678028;18601.93501547127;23276.469253246752;20324.799
2024-06-30;17522.902030379304;17019.042442891066;19349.56897056647;16381.885
2024-07-31;5412.994390038839;15770.936468648086;17319.19662893065;15588.095
2024-08-31;20891.51023057051;12049.187022573511;18827.406016206012;18410.36
2024-09-30;20450.84656524075;18834.677286846938;21893.13657365581;23214.424
2024-10-31;21476.38632456931;19768.7712096419;21412.78190193864;22669.25
