DATA;ESN;MLP;RF;XGBoost
2023-11-30;5331.634469614305;5648.829265144113;5500.322103354162;5018.441
2023-12-31;5501.608952548822;5723.590373578591;5375.162151454211;4897.1206
2024-01-31;3652.3494892507265;4220.209914376176;4988.8191747141755;4555.966
2024-02-29;2614.9150736924917;4883.788376356694;4710.329622599624;5441.521
2024-03-31;2782.776991477175;4946.978689058618;5469.990612992672;5252.946
2024-04-30;3857.5622558526597;5836.564808392666;5358.479412156471;6147.587
2024-05-31;1630.4324876667285;5662.539180411347;4731.45974044474;4680.7974
2024-06-30;1834.5201167577184;5248.133716261031;3725.540492840493;3516.277
2024-07-31;-3230.458407457895;4636.145606661094;3501.7624050024056;3683.6738
2024-08-31;2967.309388044558;4986.418058381319;5205.5737912087925;5103.862
2024-09-30;3147.8020585172426;5304.035995844769;4940.216908461908;5880.6187
2024-10-31;1860.475136477655;4937.910132686276;4969.165633810634;5612.468
