DATA;ESN;MLP;RF;XGBoost
2023-11-30;22646.505852647162;19224.468977668927;18375.76268898857;19681.38
2023-12-31;21366.136569613096;19070.781129192394;15449.544317626818;14784.609
2024-01-31;7923.892812129623;12269.983355067287;16898.625035705034;12148.965
2024-02-29;11379.033410644362;15660.340011741415;17286.295030895028;17709.25
2024-03-31;21381.400603723843;18028.226941437722;18210.007176527175;18253.412
2024-04-30;16598.476560585423;17886.218765277386;18485.178157398153;18429.162
2024-05-31;11520.645606282507;16864.50627779049;16849.91289581878;15328.6875
2024-06-30;14923.279816685419;16344.559703211136;13694.428174880677;15389.979
2024-07-31;15300.48494254101;17428.237785095283;12276.52873089873;14493.493
2024-08-31;18837.217633660453;16260.626792374664;17773.625041450923;18357.375
2024-09-30;11010.047765914342;19673.588837346597;16638.615782561665;15950.651
2024-10-31;13288.830895518287;17595.22735639653;14964.332196414694;14319.82
