DATA;ESN;MLP;RF;XGBoost
2023-11-30;8788.314413878004;8641.414541035736;8595.126175593414;8778.482
2023-12-31;8492.29549700841;8533.347180265146;8240.33709430433;8634.718
2024-01-31;4635.359858917728;4928.600004533598;8371.955948320685;7006.8203
2024-02-29;5420.102061588593;6913.232002484101;8417.754701234437;7502.9917
2024-03-31;6399.127441304071;7001.6691660139895;8240.33709430433;8630.198
2024-04-30;6357.46557565414;7818.912543683977;8240.120710225447;9045.386
2024-05-31;7789.215132918104;7891.336057579823;8595.126175593414;9523.097
2024-06-30;5113.605964336968;7486.628528525617;7800.492892672629;7383.4834
2024-07-31;6161.539262882565;8134.310936040735;7677.260397935397;9151.72
2024-08-31;5902.0462754412165;7718.30667579563;7762.099134199133;7587.5327
2024-09-30;6166.910895812555;8158.562423861164;8092.938699643436;9181.845
2024-10-31;4277.156718224627;8094.903355605269;8067.734256401493;8797.26
