;ESN RRMSE;MLP RRMSE;RF RRMSE;XGBoost RRMSE;WSB-LOCAL RRMSE;ESN MAPE;MLP MAPE;RF MAPE;XGBoost MAPE;WSB-LOCAL MAPE
ASSIS CHATEAUBRIAND;0.2805779825866919;0.39815455618887485;0.3614795053524045;0.3452048820889252;0.3472468375541013;0.17821663449429823;0.5515133527901833;0.4196102025095971;0.4141104880170526;0.42595844421006723
ASTORGA;0.4772167611807019;0.30845827652924307;0.3067764879174813;0.3348475184759304;0.3178144735810478;0.430906875095528;0.23666364878446336;0.22892234188276195;0.255417776420269;0.2382531971740053
BARRACÃO;0.28868665070466004;0.22996607951545853;0.29510411976075923;0.27954031490791925;0.2725873389273654;0.2338529088567081;0.2175199754027298;0.2680495212254207;0.24256178959526742;0.24077117322779293
CAMPO LARGO;0.36560306331385184;0.3346732118301929;0.33598865204779366;0.32603711376820604;0.31042295135820086;0.3587013366231986;0.3789771420066397;0.35550743590662975;0.3206025332429569;0.3363236954802357
CAPANEMA;0.5354472479183564;0.4310234920209352;0.3959560218925014;0.34089386100581826;0.3818488186761609;0.4707558511097336;0.5507374410148141;0.43652922188415194;0.3652147094387778;0.43033084918689996
CASCAVEL;0.2737054038919317;0.29858943403809923;0.32642559560184475;0.28323871083370383;0.2687329900533034;0.2837470964714443;0.28566296220116283;0.3279995762045328;0.2568356572945318;0.2564190496362837
CORONEL VIVIDA;0.34534811124495896;0.3439699817648562;0.26765438426774935;0.23923564854989493;0.24465527682245694;0.30448125718538915;0.3791057202175577;0.28788551955357927;0.2504379192896898;0.2589172282340874
CURITIBA;0.841661058880931;0.3934126676538116;0.29596844132382294;0.3546069850935533;0.2967694362395418;0.6680059529130049;0.25087528859561403;0.2647171942766208;0.30917608236022726;0.2396151545594832
FOZ DO IGUAÇU;0.38547486900798444;0.5127563113337615;0.4383476643987513;0.48518798033485355;0.47891750463016713;0.42306150481499954;0.5666781820865158;0.5101573589649917;0.5186933808132793;0.5163513251862005
GOIOERÊ;0.2554599448863352;0.2667586662701586;0.3041763048276776;0.27780933144043957;0.2659282660502801;0.2729035370084943;0.29807076326474047;0.2763657387888865;0.28136175986238476;0.27292247276544535
IRATI;0.36878839904979543;0.31583984804216625;0.33723777318365095;0.39387447244854584;0.3570399669053794;0.3038793959160153;0.28941664032639747;0.27202352106619837;0.2690194924014354;0.25065300539535784
IVAIPORÃ;10.280054144754416;0.3181440120283868;0.30677910304029327;0.2858966911439383;0.2850899184906995;10.408902201934596;0.2705481145923564;0.24005924324712635;0.1922946863357667;0.20528002717832314
JACAREZINHO;173.7260623966484;0.3415591858669097;0.37499211571998997;0.39245719456948064;0.37618792501293635;199.81785528221414;0.2985492573317032;0.3328269509505725;0.3624669586339826;0.34417262442131036
JAGUARIAÍVA;0.36706702752832887;0.27537557217022135;0.23820273060268315;0.27284941169642224;0.25844289160310335;0.2905419387882228;0.23843944323275146;0.2299408431887585;0.23425438620144556;0.22793938904115021
LONDRINA - CENTRO;0.6874536796038011;0.21290137020162234;0.2733053936420864;0.2854481172454167;0.27314927004585804;0.7291910531290947;0.19848855485112452;0.2581148526115006;0.23406011119246928;0.24766597587056519
PALMAS;0.8397337389938636;0.24968712034709045;0.2329454059516654;0.27383104613506676;0.24545675836708475;0.8661193595973623;0.2327903698531937;0.21038870265153284;0.2644235733470977;0.24502671444640534
PARANAGUÁ;0.2362479150333825;0.21695342839850432;0.22711055196822627;0.2613468320950945;0.26128294681119135;0.18195076860438486;0.19801667712506302;0.17300916379340756;0.18900565498077507;0.18901583425851362
PARANAVAÍ;0.42459501058832927;0.38651156130685943;0.38586397952615475;0.38557685404360353;0.3855824822155583;0.37653363622210606;0.45113908895428834;0.4244667447643713;0.39464093497193437;0.39463780580290114
PINHAIS;0.34268979716127124;0.3641626050253369;0.21081150241311644;0.22799143471677322;0.21090258603734677;0.24788300400542929;0.3361232421772218;0.19961747187736725;0.2068635845175727;0.19073580513889274
PITANGA;0.2620458682224989;0.2558609870224754;0.2912689521629936;0.3268829248794965;0.29342221910404387;0.2325187690734737;0.22844224130994997;0.24618008300192584;0.29965758487440297;0.2692718165646526
QUEDAS DO IGUAÇU;0.34278908988597656;0.32802141657175626;0.24930713851259476;0.24968125603327762;0.24277973099496936;0.3326649875800611;0.3127458191419485;0.2234244136451398;0.2281119982824137;0.22708926834921206
TELÊMACO BORBA;0.2880635063387561;0.2572018554088477;0.26497346117206366;0.238254804270994;0.22882702070686828;0.22881632717175915;0.2766870217346748;0.27705136457467355;0.22152002309552343;0.22360334894449885
UMUARAMA;0.2792151501874877;0.30109746091403644;0.32506321942545036;0.3366012172503255;0.33660877842660586;0.2357585072972729;0.3767317345522874;0.3631152931763943;0.37991000935923097;0.379946998694102
UNIÃO DA VITÓRIA;0.3757129654030019;0.2926976080770397;0.26002032215061305;0.23950232737311208;0.2733966941989383;0.34623985918972827;0.25139406734777187;0.25279501122189935;0.21517731596167713;0.24149517929384867
MÉDIAS;8.036237490958987;0.31807402952194347;0.30440661778593203;0.30986653876669973;0.300545545117217;9.092645335220682;0.31980486453729806;0.29494824045700174;0.2877424337704235;0.28551651596084315
MELHOR;4;6;5;4;5;5;4;4;6;5
PIOR;14;3;3;3;1;10;9;3;1;1
SCORE (MELHOR - PIOR);-10;3;2;1;4;-5;-5;1;5;4
