;ESN RRMSE;MLP RRMSE;RF RRMSE;XGBoost RRMSE;WSB-LOCAL RRMSE;ESN MAPE;MLP MAPE;RF MAPE;XGBoost MAPE;WSB-LOCAL MAPE
ASSIS CHATEAUBRIAND;0.311;0.124;0.297;0.385;0.354;0.259;0.064;0.22;0.289;0.263
ASTORGA;0.327;0.279;0.299;0.335;0.314;0.272;0.274;0.275;0.292;0.28
BARRACÃO;0.11;0.16;0.136;0.272;0.239;0.097;0.159;0.136;0.27;0.237
CAMPO LARGO;0.314;0.287;0.174;0.306;0.292;0.275;0.285;0.17;0.297;0.282
CAPANEMA;0.423;0.204;0.23;0.166;0.178;0.315;0.103;0.171;0.137;0.135
CASCAVEL;0.283;0.179;0.245;0.266;0.261;0.253;0.161;0.177;0.203;0.197
CORONEL VIVIDA;0.293;0.239;0.198;0.219;0.215;0.224;0.231;0.168;0.202;0.2
CURITIBA;0.963;0.22;0.168;0.262;0.204;0.902;0.133;0.166;0.246;0.17
FOZ DO IGUAÇU;0.222;0.285;0.118;0.211;0.206;0.201;0.247;0.113;0.203;0.183
GOIOERÊ;0.306;0.182;0.113;0.282;0.18;0.289;0.146;0.099;0.199;0.145
IRATI;0.237;0.238;0.21;0.22;0.213;0.185;0.232;0.19;0.143;0.147
IVAIPORÃ;0.299;0.193;0.272;0.301;0.272;0.264;0.154;0.202;0.252;0.225
JACAREZINHO;0.476;0.333;0.26;0.325;0.313;0.48;0.335;0.242;0.259;0.266
JAGUARIAÍVA;0.347;0.21;0.218;0.122;0.146;0.298;0.206;0.194;0.09;0.122
LONDRINA - CENTRO;0.289;0.15;0.147;0.226;0.208;0.289;0.131;0.134;0.198;0.182
PALMAS;0.278;0.248;0.156;0.226;0.224;0.272;0.246;0.153;0.215;0.216
PARANAGUÁ;0.222;0.284;0.231;0.297;0.297;0.152;0.236;0.177;0.198;0.198
PARANAVAÍ;0.488;0.436;0.29;0.31;0.31;0.372;0.393;0.247;0.224;0.224
PINHAIS;0.299;0.199;0.084;0.101;0.116;0.271;0.165;0.083;0.101;0.115
PITANGA;0.249;0.253;0.194;0.192;0.19;0.241;0.192;0.178;0.183;0.18
QUEDAS DO IGUAÇU;0.236;0.12;0.144;0.238;0.219;0.235;0.097;0.133;0.199;0.185
TELÊMACO BORBA;0.434;0.237;0.235;0.278;0.267;0.379;0.24;0.184;0.214;0.204
UMUARAMA;0.287;0.274;0.225;0.272;0.272;0.262;0.281;0.225;0.255;0.255
UNIÃO DA VITÓRIA;0.351;0.218;0.273;0.326;0.308;0.342;0.17;0.253;0.263;0.257
MÉDIAS;0.33516666666666667;0.2313333333333333;0.204875;0.25575000000000003;0.24158333333333337;0.2970416666666667;0.203375;0.17875;0.21383333333333332;0.2028333333333333
MELHOR;2;6;13;2;1;3;8;10;3;1
PIOR;15;3;0;6;1;14;6;0;4;0
SCORE (MELHOR - PIOR);-13;3;13;-4;0;-11;2;10;-1;1
