;ESN MAPE;ESN RRMSE;MLP MAPE;MLP RRMSE;RF MAPE;RF RRMSE;WSB-LOCAL MAPE;WSB-LOCAL RRMSE;XGBoost MAPE;XGBoost RRMSE
ASSIS CHATEAUBRIAND;0.25;0.328;0.757;0.524;0.511;0.421;0.466;0.373;0.48;0.422
ASTORGA;0.222;0.308;0.267;0.284;0.242;0.288;0.199;0.247;0.223;0.301
BARRACÃO;0.208;0.25;0.21;0.21;0.182;0.199;0.195;0.212;0.222;0.242
CAMPO LARGO;0.601;0.468;0.543;0.426;0.402;0.364;0.446;0.357;0.46;0.388
CAPANEMA;0.505;0.509;0.623;0.451;0.503;0.402;0.409;0.349;0.412;0.338
CASCAVEL;0.591;0.472;0.466;0.42;0.381;0.365;0.368;0.32;0.382;0.329
CORONEL VIVIDA;0.207;0.245;0.283;0.278;0.168;0.217;0.15;0.2;0.152;0.206
CURITIBA;0.298;0.591;0.344;0.343;0.338;0.312;0.239;0.22;0.29;0.289
FOZ DO IGUAÇU;0.422;0.451;0.416;0.431;0.435;0.432;0.303;0.348;0.33;0.339
GOIOERÊ;0.447;0.469;0.543;0.514;0.346;0.35;0.471;0.518;0.478;0.539
IRATI;0.322;0.337;0.374;0.335;0.292;0.272;0.281;0.299;0.285;0.316
IVAIPORÃ;0.361;0.357;0.281;0.29;0.262;0.287;0.157;0.186;0.179;0.233
JACAREZINHO;0.522;0.522;0.453;0.405;0.357;0.333;0.337;0.334;0.365;0.365
JAGUARIAÍVA;0.375;0.43;0.304;0.274;0.287;0.257;0.279;0.263;0.252;0.253
LONDRINA - CENTRO;0.496;0.537;0.292;0.307;0.314;0.345;0.243;0.253;0.259;0.251
PALMAS;0.394;0.416;0.21;0.227;0.141;0.185;0.18;0.235;0.187;0.245
PARANAGUÁ;0.197;0.236;0.245;0.279;0.16;0.219;0.146;0.249;0.146;0.249
PARANAVAÍ;0.461;0.627;0.569;0.508;0.464;0.403;0.341;0.351;0.341;0.351
PINHAIS;0.35;0.36;0.429;0.462;0.188;0.21;0.189;0.199;0.181;0.199
PITANGA;0.4;0.367;0.345;0.329;0.334;0.302;0.311;0.289;0.332;0.311
QUEDAS DO IGUAÇU;0.293;0.344;0.35;0.353;0.227;0.229;0.246;0.248;0.278;0.27
TELÊMACO BORBA;0.332;0.377;0.365;0.32;0.339;0.323;0.267;0.279;0.266;0.284
UMUARAMA;0.365;0.362;0.614;0.459;0.471;0.394;0.573;0.448;0.573;0.448
UNIÃO DA VITÓRIA;0.502;0.49;0.36;0.357;0.395;0.365;0.377;0.357;0.352;0.346
MÉDIAS;0.3800416666666668;0.41054166666666675;0.4017916666666667;0.3660833333333333;0.32245833333333335;0.3114166666666667;0.29887499999999995;0.29725;0.309375;0.3130833333333333
MELHOR;2;2;0;0;5;7;13;10;6;7
PIOR;9;17;13;6;1;0;0;0;1;1
SCORE (MELHOR - PIOR);-7;-15;-13;-6;4;7;13;10;5;6
